Base, Ordre : , 4, Lambda : -1.0
 X , Y 
1.0,1500.0
2.0,1700.0
3.0,1800.0
4.0,2227.0
5.0,2252.0
6.0,2184.0
7.0,2280.0
8.0,2522.0
9.0,2482.0
10.0,2301.0
11.0,2335.0
12.0,2479.0
13.0,2509.0
14.0,2386.0
15.0,2499.0
16.0,2677.0
17.0,2702.0
18.0,2527.0
19.0,2579.0
20.0,2680.0
21.0,2624.0
22.0,2437.0
23.0,2470.0
24.0,2562.0
AnalyseResidu, Ordre : , 4, Lambda : -1.0
 X , Y 
1.0,3044.096833333335
2.0,3024.041583333335
3.0,2693.6363333333347
4.0,2823.781083333335
5.0,2762.1758333333346
6.0,2474.1205833333343
7.0,2139.7153333333345
8.0,2084.8600833333344
9.0,1958.2548333333343
10.0,1557.199583333334
11.0,1160.7943333333342
12.0,1007.9390833333337
13.0,951.3338333333336
14.0,608.2785833333332
15.0,290.87333333333345
16.0,172.01808333333338
17.0,110.41283333333286
18.0,-284.64241666666703
19.0,-663.0476666666673
20.0,-858.9029166666669
21.0,-1001.5081666666674
22.0,-1408.5634166666673
23.0,-1805.9686666666676
24.0,-2010.823916666668
